epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,531.604,0.69973,1.18561,0.65339,0.98512,0.79378,0.91111,0.86315,0.71506,0.79154,0.90005,0.8441,0.62405,0.74931,2.14407,0.61225,1.11916,0.0004556,0.0004556,0.0004556
80,538.026,0.65815,1.14734,0.63625,0.96013,0.84103,0.90133,0.86746,0.71501,0.8272,0.88652,0.84699,0.6472,0.73328,2.05735,0.57961,1.09915,0.0004358,0.0004358,0.0004358
81,544.662,0.64567,1.12609,0.62427,0.94772,0.84561,0.88889,0.8681,0.71707,0.83774,0.87407,0.84699,0.638,0.73619,1.89669,0.6013,1.09366,0.000416,0.000416,0.000416
82,551.177,0.63859,1.1233,0.60728,0.95947,0.86943,0.83848,0.87929,0.71441,0.8619,0.8322,0.85714,0.64175,0.73095,1.94207,0.61793,1.08209,0.0003962,0.0003962,0.0003962
83,557.858,0.61459,1.07649,0.57201,0.95356,0.86212,0.88148,0.87443,0.71408,0.85487,0.87407,0.85582,0.63803,0.73223,1.9803,0.58286,1.08307,0.0003764,0.0003764,0.0003764
84,564.438,0.60844,1.03593,0.57255,0.94948,0.84232,0.91013,0.8771,0.72039,0.83547,0.90272,0.85798,0.64479,0.73869,1.99145,0.57072,1.11128,0.0003566,0.0003566,0.0003566
85,571.117,0.62582,1.05131,0.7218,0.93185,0.84835,0.88889,0.87745,0.73564,0.84117,0.88148,0.86622,0.68344,0.74721,1.82058,0.60743,1.10957,0.0003368,0.0003368,0.0003368
86,577.747,0.62506,1.06521,0.59508,0.9599,0.83634,0.91111,0.88515,0.73848,0.87834,0.84444,0.87586,0.67002,0.76084,2.01821,0.56783,1.12363,0.000317,0.000317,0.000317
87,584.076,0.64642,1.10495,0.59759,0.9879,0.90218,0.84444,0.88222,0.7333,0.91255,0.85185,0.89286,0.65892,0.75268,2.09625,0.56665,1.12351,0.0002972,0.0002972,0.0002972
88,590.534,0.62681,1.18625,0.62396,0.96272,0.86224,0.87407,0.88125,0.73364,0.85493,0.86667,0.86028,0.65172,0.72528,2.06363,0.56347,1.08827,0.0002774,0.0002774,0.0002774
89,597.192,0.65563,1.17072,0.63926,0.97481,0.85058,0.87407,0.8795,0.7316,0.84181,0.86667,0.85621,0.65302,0.72429,2.0176,0.60017,1.07886,0.0002576,0.0002576,0.0002576
90,603.578,0.6272,1.08537,0.57811,0.95718,0.85703,0.88806,0.86161,0.72235,0.84988,0.88065,0.84966,0.65047,0.74071,2.03073,0.57248,1.08872,0.0002378,0.0002378,0.0002378
91,612.624,0.56055,0.9774,0.5058,0.93993,0.8273,0.88713,0.85758,0.69911,0.82066,0.88132,0.84079,0.62239,0.75826,2.18148,0.60855,1.11447,0.000218,0.000218,0.000218
92,619.062,0.49289,0.91985,0.56122,0.87101,0.84658,0.87407,0.87319,0.72037,0.83941,0.86667,0.85908,0.63908,0.75808,2.16528,0.57002,1.12934,0.0001982,0.0001982,0.0001982
93,625.287,0.51001,0.95426,0.46611,0.90921,0.876,0.86667,0.87836,0.73287,0.876,0.86667,0.88209,0.65314,0.76079,2.05189,0.57805,1.11739,0.0001784,0.0001784,0.0001784
94,631.533,0.49433,0.92437,0.46191,0.89516,0.85862,0.85185,0.87195,0.73198,0.85862,0.85185,0.87452,0.65376,0.72851,2.00881,0.57911,1.07799,0.0001586,0.0001586,0.0001586
95,637.819,0.51032,0.93169,0.44681,0.89095,0.8601,0.86529,0.86946,0.73505,0.8601,0.86529,0.87194,0.65693,0.72582,2.0006,0.56613,1.07497,0.0001388,0.0001388,0.0001388
96,644.085,0.51448,0.93537,0.45292,0.89882,0.84403,0.8963,0.8627,0.72589,0.84403,0.8963,0.86606,0.65254,0.72896,2.00745,0.58345,1.08051,0.000119,0.000119,0.000119
97,650.275,0.60339,0.93964,0.46814,1.00777,0.81954,0.88889,0.86088,0.71877,0.81954,0.88889,0.86672,0.65273,0.72172,2.00923,0.60227,1.07258,9.92e-05,9.92e-05,9.92e-05
98,656.561,0.49138,0.89352,0.44472,0.89838,0.82217,0.86667,0.86773,0.72618,0.82217,0.86667,0.86905,0.65651,0.73315,2.01693,0.59731,1.09853,7.94e-05,7.94e-05,7.94e-05
99,662.688,0.47163,0.8896,0.42272,0.88883,0.82192,0.8963,0.87336,0.72922,0.82192,0.8963,0.87375,0.66487,0.73986,2.0313,0.58983,1.11114,5.96e-05,5.96e-05,5.96e-05
100,669.029,0.48169,0.89095,0.4301,0.89771,0.82868,0.89574,0.87257,0.73076,0.82868,0.89574,0.87321,0.66229,0.74096,2.04587,0.58968,1.10806,3.98e-05,3.98e-05,3.98e-05
